product_category,total_items_sold,total_revenue,total_freight_cost,avg_item_price,avg_freight_cost,freight_ratio_pct,total_freight_burden_pct
"home_comfort_2",30,760.27,410.31,25.342333,13.677,35.0518,35.0518
"flowers",33,1110.04,488.87,33.637575,14.814242,30.5752,30.5752
"furniture_mattress_and_upholstery",38,4368.08,1630.46,114.949473,42.906842,27.1809,27.1809
"christmas_supplies",153,8800.82,3229.3,57.521699,21.106535,26.8434,26.8434
"diapers_and_hygiene",39,1567.59,573.68,40.194615,14.709743,26.7915,26.7915
"cds_dvds_musicals",14,730.0,224.99,52.142857,16.070714,23.5594,23.5594
"signaling_and_security",199,21509.23,6507.82,108.086582,32.702613,23.228,23.228
"food_drink",278,15179.48,4507.99,54.602446,16.215791,22.8977,22.8977
"electronics",2767,160246.74,46578.32,57.91353,16.833509,22.5206,22.5206
"fashion_sport",30,2119.51,578.13,70.650333,19.271,21.4309,21.4309
"furniture_living_room",503,68916.56,17968.17,137.011053,35.722007,20.6804,20.6804
"kitchen_dining_laundry_garden_furniture",281,46328.37,11999.43,164.869644,42.702597,20.5724,20.5724
"drinks",379,22428.7,5741.25,59.178627,15.148416,20.3807,20.3807
"office_furniture",1691,273960.7,68571.95,162.011058,40.551123,20.019,20.019
"food",510,29393.41,7271.03,57.634137,14.256921,19.8312,19.8312
"furniture_decor",8334,729762.49,172749.3,87.564493,20.728257,19.1409,19.1409
"furniture_bedroom",109,20028.78,4632.23,183.750275,42.497522,18.7836,18.7836
"housewares",6964,632248.66,146149.11,90.788147,20.986374,18.7756,18.7756
"books_technical",267,19096.06,4283.06,71.520823,16.041423,18.32,18.32
"fashio_female_clothing",48,2803.64,621.75,58.409166,12.953125,18.1512,18.1512
"telephony",4545,323667.53,71215.79,71.213977,15.66904,18.0346,18.0346
"luggage_accessories",1092,140429.98,30445.23,128.598882,27.880247,17.8172,17.8172
"dvds_blu_ray",64,5999.39,1288.74,93.740468,20.136562,17.6827,17.6827
"fashion_shoes",262,23562.77,4918.87,89.934236,18.774312,17.2703,17.2703
"costruction_tools_garden",238,25715.89,5311.4,108.049957,22.316806,17.1184,17.1184
"fashion_bags_accessories",2031,152823.54,31450.0,75.245465,15.484982,17.067,17.067
"arts_and_craftmanship",24,1814.01,370.13,75.58375,15.422083,16.9462,16.9462
"garden_tools",4347,485256.46,98962.75,111.630195,22.765757,16.9393,16.9393
"stationery",2517,230943.23,46798.48,91.753369,18.592959,16.8496,16.8496
"fashion_underwear_beach",131,9541.55,1916.19,72.836259,14.627404,16.7239,16.7239
"fashion_male_clothing",132,10797.82,2152.41,81.801666,16.306136,16.6206,16.6206
"industry_commerce_and_business",268,39669.61,7884.68,148.020932,29.420447,16.5803,16.5803
"bed_bath_table",11115,1036988.68,204693.04,93.296327,18.415928,16.4851,16.4851
"books_general_interest",553,46856.88,9195.52,84.732151,16.628426,16.4052,16.4052
"market_place",311,28378.47,5456.06,91.249099,17.543601,16.1257,16.1257
"home_appliances",771,80171.53,14818.9,103.983826,19.220363,15.6004,15.6004
"construction_tools_lights",304,41080.0,7583.8,135.131578,24.94671,15.584,15.584
"party_supplies",43,4485.18,827.97,104.306511,19.255116,15.5834,15.5834
"pet_shop",1947,214315.41,39561.24,110.074684,20.319075,15.5828,15.5828
"cine_photo",72,6933.46,1256.2,96.298055,17.447222,15.3388,15.3388
"sports_leisure",8641,988048.97,168607.51,114.344285,19.512499,14.5771,14.5771
"fashion_childrens_clothes",8,569.85,95.51,71.23125,11.93875,14.3546,14.3546
"art",209,24202.64,4045.17,115.802105,19.35488,14.3202,14.3202
"home_construction",604,83088.12,13832.24,137.563112,22.901059,14.2717,14.2717
"baby",3065,411764.89,68353.11,134.344172,22.301177,14.2367,14.2367
"books_imported",60,4639.85,769.85,77.330833,12.830833,14.2309,14.2309
"tablets_printing_image",83,7528.41,1226.2,90.703734,14.773493,14.0063,14.0063
"la_cuisine",14,2054.99,333.55,146.785,23.825,13.9645,13.9645
"computers_accessories",7827,911954.32,147318.08,116.513903,18.821781,13.9074,13.9074
"toys",4117,483946.6,77425.95,117.54836,18.8064,13.7922,13.7922
Unknown,1603,179535.28,28169.81,111.99955,17.573181,13.5624,13.5624
"auto",4235,592720.11,92664.21,139.957523,21.880569,13.52,13.52
security_and_services,2,283.29,41.22,141.645,20.61,12.7022,12.7022
"home_confort",434,58572.04,8501.23,134.958617,19.588087,12.6745,12.6745
"health_beauty",9670,1258681.34,182566.73,130.16353,18.879703,12.6672,12.6672
"construction_tools_construction",929,144677.59,20650.41,155.734757,22.228643,12.4905,12.4905
"perfumery",3419,399124.87,54213.84,116.737312,15.856636,11.9587,11.9587
"cool_stuff",3796,635290.85,84039.1,167.357968,22.138856,11.6829,11.6829
"costruction_tools_tools",103,15903.95,2030.22,154.407281,19.710873,11.3204,11.3204
"consoles_games",1137,157465.22,19828.02,138.491838,17.438891,11.1837,11.1837
"air_conditioning",297,55024.96,6749.23,185.269225,22.72468,10.9256,10.9256
"music",38,6034.35,690.51,158.798684,18.171315,10.268,10.268
"audio",364,50688.5,5710.44,139.25412,15.688021,10.125,10.125
"musical_instruments",680,191498.88,18638.49,281.616,27.409544,8.8696,8.8696
"construction_tools_safety",194,40544.52,3919.1,208.992371,20.201546,8.8141,8.8141
"home_appliances_2",238,113317.74,10600.18,476.124957,44.538571,8.5541,8.5541
pc_gamer,9,1545.95,133.57,171.772222,14.841111,7.9528,7.9528
"small_appliances",679,190648.58,16020.25,280.778468,23.593888,7.7516,7.7516
"watches_gifts",5991,1205005.68,100535.93,201.135983,16.78116,7.7007,7.7007
"agro_industry_and_commerce",212,72530.47,5843.6,342.124858,27.56415,7.456,7.456
portateis_cozinha_e_preparadores_de_alimentos,15,3968.53,309.76,264.568666,20.650666,7.2402,7.2402
"fixed_telephony",264,59583.0,4637.81,225.693181,17.567462,7.2216,7.2216
"small_appliances_home_oven_and_coffee",76,47445.71,2747.86,624.285657,36.156052,5.4745,5.4745
"computers",203,222963.13,9836.3,1098.340541,48.454679,4.2252,4.2252
