customer_state,total_orders_delivered,avg_delivery_days,late_deliveries,late_delivery_rate_pct
AL,397,24.50125944584383,95,23.929471032745592
MA,717,21.511854951185494,141,19.665271966527197
PI,476,19.394957983193276,76,15.966386554621847
CE,1279,21.200156372165754,196,15.32447224394058
SE,335,21.46268656716418,51,15.223880597014924
BA,3256,19.278562653562652,457,14.035626535626536
RJ,12350,15.237004048582996,1664,13.473684210526315
TO,274,17.598540145985403,35,12.773722627737227
PA,946,23.725158562367866,117,12.367864693446089
ES,1995,15.723809523809523,244,12.230576441102757
RR,41,29.341463414634145,5,12.195121951219512
MS,701,15.544935805991441,81,11.554921540656206
PB,517,20.38878143133462,57,11.02514506769826
PE,1593,18.3954802259887,172,10.797237915881984
RN,474,19.223628691983123,51,10.759493670886076
SC,3546,14.902989283699943,346,9.75747320924986
GO,1957,15.536024527337762,160,8.175779253960142
RS,5345,15.248502994011975,382,7.14686623012161
DF,2080,12.899038461538462,147,7.0673076923076925
MT,886,18.003386004514674,60,6.772009029345373
SP,40501,8.70057292438386,2387,5.893681637490433
MG,11354,11.944953320415712,637,5.61035758323058
PR,4923,11.938045906967297,246,4.996953077391835
AP,67,27.17910447761194,3,4.477611940298507
AM,145,26.358620689655172,6,4.137931034482759
AC,80,21.0,3,3.75
RO,243,19.28395061728395,7,2.880658436213992
