feature,importance
order_month,0.14587730577730534
avg_freight_per_item,0.10831523262611628
total_freight,0.09183922066107936
freight_ratio,0.08765381875004921
total_payment_value,0.08502831029386258
customer_state,0.07905193273486787
avg_item_price,0.075962592447433
total_price,0.075320645594291
dominant_category,0.06755052421576953
order_quarter,0.06577713921263932
order_day_of_week,0.043422443073558324
primary_seller_state,0.03711572488003498
is_cross_state,0.016396061331325047
order_is_weekend,0.010166591943189723
total_items,0.006422723953439943
num_distinct_sellers,0.004099732505038539
